,Suburb Name,Year,Adult_Population,Local Government Area,Postcode,2016 Median Sold Price
94,Pascoe Vale,2016.0,"19,288",Moreland,3044,600000.0
95,Glenroy,2016.0,"18,209",Moreland,3046,501000.0
96,Gowanbrae,2016.0,"2,262",Moreland,3043,591000.0
97,Hadfield,2016.0,"4,581",Moreland,3046,541000.0
98,Broadmeadows,2016.0,"10,440",Hume,3047,381000.0
99,Meadow Heights,2016.0,"11,413",Hume,3048,386000.0
100,Tullamarine,2016.0,"5,499",Moreland,3043,455000.0
101,Bayswater,2016.0,"10,019",Knox,3153,620000.0
102,Lysterfield,2016.0,"5,301",Knox,3156,831000.0
103,Wantirna,2016.0,"11,605",Knox,3152,788000.0
104,Wantirna South,2016.0,"15,194",Knox,3152,850000.0
105,Boronia,2016.0,"18,343",Knox,3155,580000.0
106,The Basin,2016.0,"3,396",Knox,3154,550000.0
107,Bayswater North,2016.0,"9,580",Maroondah,3153,560000.0
108,Ringwood,2016.0,"14,076",Maroondah,3134,781000.0
109,Ringwood East,2016.0,"16,423",Maroondah,3135,750000.0
110,Ringwood North,2016.0,"7,692",Manningham,3134,790000.0
111,Croydon South,2016.0,"3,773",Maroondah,3136,600000.0
112,Forest Hill,2016.0,"8,814",Whitehorse,3131,879000.0
113,Nunawading,2016.0,"9,711",Manningham,3131,861000.0
114,Vermont,2016.0,"8,256",Whitehorse,3133,857000.0
115,Vermont South,2016.0,"9,902",Whitehorse,3133,1053000.0
116,Chirnside Park,2016.0,"8,127",Yarra Ranges,3116,590000.0
117,Kilsyth,2016.0,"7,539",Maroondah,3137,555000.0
118,Montrose,2016.0,"5,527",Yarra Ranges,3765,610000.0
119,Mooroolbark,2016.0,"17,696",Yarra Ranges,3138,567000.0
120,Mount Evelyn,2016.0,"7,752",Yarra Ranges,3796,533000.0
121,Koo Wee Rup,2016.0,"5,957",Cardinia,3981,350000.0
122,Doveton,2016.0,"9,112",Casey,3177,382000.0
123,Hallam,2016.0,"8,651",Casey,3803,440000.0
124,Narre Warren North,2016.0,"6,368",Casey,3804,885000.0
125,Cranbourne,2016.0,"15,787",Casey,3977,365000.0
126,Cranbourne East,2016.0,"18,604",Casey,3977,450000.0
127,Cranbourne North,2016.0,"14,922",Casey,3977,416000.0
128,Cranbourne South,2016.0,"7,037",Casey,3977,915000.0
129,Cranbourne West,2016.0,"11,158",Casey,3977,385000.0
130,Clayton South,2016.0,"10,626",Kingston,3169,670000.0
131,Dandenong North,2016.0,"18,405",Greater Dandenong,3175,500000.0
132,Dingley Village,2016.0,"8,463",Kingston,3172,697000.0
133,Keysborough,2016.0,"20,839",Greater Dandenong,3173,614000.0
134,Noble Park North,2016.0,"6,192",Greater Dandenong,3174,520000.0
135,Springvale,2016.0,"18,286",Greater Dandenong,3171,631000.0
136,Springvale South,2016.0,"10,349",Greater Dandenong,3172,572000.0
137,Clayton,2016.0,"20,332",Monash,3168,890000.0
138,Mulgrave,2016.0,"16,027",Monash,3170,758000.0
139,Wheelers Hill,2016.0,"16,658",Monash,3150,1000000.0
140,Cairnlea,2016.0,"7,470",Brimbank,3023,564000.0
141,Delahey,2016.0,"6,884",Brimbank,3037,406000.0
142,Keilor Downs,2016.0,"10,993",Brimbank,3038,490000.0
143,Sunshine,2016.0,"8,110",Brimbank,3020,589000.0
144,Sunshine North,2016.0,"9,625",Brimbank,3020,510000.0
145,Sunshine West,2016.0,"15,305",Brimbank,3020,476000.0
146,Sydenham,2016.0,"9,671",Brimbank,3037,433000.0
147,Taylors Lakes,2016.0,"14,585",Brimbank,3038,581000.0
148,Altona,2016.0,"10,589",Hobsons Bay,3018,724000.0
149,Altona Meadows,2016.0,"15,956",Hobsons Bay,3028,470000.0
150,Altona North,2016.0,"11,491",Hobsons Bay,3025,650000.0
151,Newport,2016.0,"13,917",Hobsons Bay,3015,841000.0
152,Seabrook,2016.0,"3,981",Hobsons Bay,3028,477000.0
153,Williamstown,2016.0,"12,527",Hobsons Bay,3016,1100000.0
154,Braybrook,2016.0,"15,098",Maribyrnong,3019,555000.0
155,Footscray,2016.0,"14,513",Maribyrnong,3011,665000.0
156,Yarraville,2016.0,"12,012",Maribyrnong,3013,800000.0
157,Hillside,2016.0,"15,356",Melton,3037,488000.0
158,Melton,2016.0,"14,907",Melton,3337,272000.0
159,Melton South,2016.0,"17,784",Melton,3338,269000.0
160,Melton West,2016.0,"13,101",Melton,3337,310000.0
161,Taylors Hill,2016.0,"13,587",Melton,3037,550000.0
162,Burnside Heights,2016.0,"4,259",Melton,3023,488000.0
163,Caroline Springs,2016.0,"14,707",Melton,3023,498000.0
164,Laverton,2016.0,"7,129",Hobsons Bay,3028,410000.0
165,Tarneit,2016.0,"24,600",Wyndham,3029,410000.0
166,Truganina,2016.0,"16,819",Melton,3029,400000.0
167,Wyndham Vale,2016.0,"16,894",Wyndham,3024,345000.0
168,Carrum Downs,2016.0,"16,537",Frankston,3201,392000.0
169,Frankston North,2016.0,"15,837",Frankston,3200,330000.0
170,Frankston South,2016.0,"14,863",Frankston,3199,636000.0
171,Langwarrin,2016.0,"19,182",Frankston,3910,465000.0
172,Dromana,2016.0,"9,434",Mornington Peninsula,3936,590000.0
173,Flinders,2016.0,"4,563",Mornington Peninsula,3929,1350000.0
174,Mornington,2016.0,"20,165",Mornington Peninsula,3931,661000.0
175,Mount Eliza,2016.0,"14,109",Mornington Peninsula,3930,875000.0
176,Mount Martha,2016.0,"14,578",Mornington Peninsula,3934,770000.0
177,Somerville,2016.0,"14,880",Mornington Peninsula,3912,450000.0
178,Albion,2016.0,"2,447",Brimbank,3020,521000.0
179,Windsor,2016.0,"6,110",Port Phillip,3181,1151000.0
180,Emerald,2016.0,"9,951",Cardinia,3782,580000.0
